,Club Names,Club Short Descriptions,Club Long Descriptions,Club Urls
476,Student Activities Risk Management,Student Activities Risk Management,,https://uconntact.uconn.edu/organization/ocaa
477,Student Alumni Association,"The Student Alumni Association is a social and professional organization combining a strong sense of UConn spirit with a desire to create and continue traditions on campus. ""Students Today, Huskies Forever.""","Meetings: Thursdays at 6pm in the Alumni Center (located between Werth Tower and the Painted Rock)
 
What does the Student Alumni Association Do?",https://uconntact.uconn.edu/organization/studentalumniassociation
478,Student Animal Legal Defense Fund,Student Animal Legal Defense Fund is dedicated to promoting the awareness of animal rights and educating the law school community about the legal protection of animal welfare.,Student Animal Legal Defense Fund is dedicated to promoting the awareness of animal rights and educating the law school community about the legal protection of animal welfare. Our goal is to assist animal rights organizations such as the ASPCA and local animal shelters. SALDF strives to provide opportunities for students to learn more about and explore the field of animal law through panel discussions on campus and community volunteering.,https://uconntact.uconn.edu/organization/saldf
479,Student Association of Graduate Engineers (SAGE),"Organization for engineering students to connect academically, professionally, and socially.","An organization for graduate engineers to socialize and connect professionally. We organize fun activities and co-host professional/academic events with SoE throughout the year. We also serve as a liaison between the graduate students and SoE, so if there is any workshop you think should be offered, or areas SoE could improve on etc., we will make sure your feedback are heard (and possibly implemented).",https://uconntact.uconn.edu/organization/sage
480,"Student Association of School Psychology, UConn","UConn SASP is focused on providing all UConn students, specifically those in Educational Psychology, opportunities for professional development, increased collaboration on research, and community service.","The Student Association of School Psychology at the University of Connecticut‘s Neag School of Education (UConn SASP) is a graduate student organization with the formal purpose to: (a) increase student collaboration and dissemination of evidence-based practices and research; (b) provide professional development; (c) engage in outreach, advocacy, and service to the community; (d) keep students abreast of current opportunities and initiatives in the field; and (e) promote systemic social justice and anti-racism. ",https://uconntact.uconn.edu/organization/studentassociationofschoolpsychology
481,Student Bar Association,The Student Bar Association serves as the voice for the student body both on campus and nationally through the American Bar Association.,"Founded in 1959, the Student Bar Association (SBA) is the student government of the University of Connecticut School of Law. Membership consists of students elected annually by the Day, Evening, and LLM Divisions of the Law School. The SBA manages a budget derived from student activities fees to support various student organizations, fund community activities, and to promote the quality of student life. In addition, the SBA selects students to serve on faculty committees, provides feedback to the administration, and is active in a multitude of issues affecting students at the Law School.
Mission
We, the students of The University of Connecticut School of Law, do hereby establish the Student Bar Association and its governing Board, whose purposes shall include:",https://uconntact.uconn.edu/organization/sba
482,Student Body Fitness,We are a fitness group centered around positivity and inclusivity to all.,Please join our Discord server! (Click the globe icon below to join),https://uconntact.uconn.edu/organization/studentbodyfitness
483,Student College of Clinical Pharmacy,The Student College of Clinical Pharmacy is a student chapter of the American College of Clinical Pharmacy (ACCP).,"The Student College of Clinical Pharmacy is a student chapter of the American College of Clinical Pharmacy (ACCP). This organization will serve to familiarize students with the field of clinical pharmacy. It will also promote dedication to excellence in patient care, research and education. The organization will prepare students to work on interdisciplinary teams through professional development and service projects. Students will also serve as advocates for the role of clinical pharmacists in providing direct patient care.
 ",https://uconntact.uconn.edu/organization/uconnsccp
484,Student Government Association - Stamford Campus,"The undergraduate governing body for the Stamford Campus, representing the student body, acts as a liaison between the administration and students and oversees the student activity fee expenditure.","The undergraduate governing body for the Stamford campus, SGA represents and advocates the student body's interests and organizes event programming on campus, as liaisons between the administration and students. Click on the Join button and register on our website under the Finance or Get Involved Tabs at the top of the screen to become part of the organization! Hit the contact button or email StamfordSGA@uconn.edu for any questions that you have!
 ",https://uconntact.uconn.edu/organization/stamfordsga
485,Student Health and Wellness,"Whether your goal is to improve your health, stay fit, find support, or feel better, Student Health and Wellness is here to help and empower you! Our services and programs are designed to promote a healthy lifestyle during your time at college.","Medical Care
Sick or injured? Need an annual exam, allergy shots, or immunizations? Do you have another medical need? Our team of physicians, nurse practitioners, registered nurses, registered dietitians, and other college health specialists is here for you.
234 Glenbrook Road (Hilda Williams Building)
 
Mental Health
Our team of mental health professionals understands the complexities of student life and provides an open, safe, and confidential environment to help you through issues that may interfere with your well-being and academic productivity.
337 Mansfield Road (Arjona Building, 4th floor)
 
Health Promotion
Our health educators provide a variety of programs, resources, and services intended to help you make healthy choices. We focus on the topics that are most meaningful to college students such as nutrition, sleep, physical activity, alcohol and other drugs, sexual health, and stress management.
626 Gilbert Road Ext. (Wilson Hall, South Campus)
 
Pharmacy
Our on-campus pharmacy carries a large selection of prescription and over-the-counter medications and medical supplies. Our registered pharmacists collaborate with your healthcare professionals to provide you with the right medication and clear instructions for use.
234 Glenbrook Road (Hilda Williams Building)
 
To request a program, presentation, and/or interview, please fill out our request form.",https://uconntact.uconn.edu/organization/healthyhusky
486,Student Health Outreach Team (SHOT),SHOT serves as a liaison between Student Health Services and the student body.,"SHOT serves as a liaison between Student Health Services and the student body. Through our direct input to SHS, we help improve the delivery of healthcare by focusing on student feedback and proposing improvements. We also put together health related events and develop and implement campus wide health awareness activities.",https://uconntact.uconn.edu/organization/shot
487,Student Life Awards,"The University of Connecticut Student Life Awards recognize and celebrate the outstanding contributions to, and leadership of, our campus community by students, student organizations, and staff.","The University of Connecticut Student Life Awards recognize and celebrate the outstanding contributions to, and leadership of, our campus community by students, student organizations, and staff.
Every spring, students, organizations, and advisors are nominated by their peers for their work throughout the academic year. Individuals and organizations may be nominated for a variety of awards recognizing scholarship, community service, outstanding programming, leadership, school pride, and more.
The 25 Student Life Awards are sponsored and supported by the donations of alumni, through the gifts of faculty and staff, and with the collaboration of Departments and Offices across campus.",https://uconntact.uconn.edu/organization/sla
488,Student National Pharmaceutical Association,SNPhA is geared toward serving the underserved communities and educating health care workers on how to serve the growing minority population. SNPhA is dedicated to serving our communities needs through 6 Initiatives including Immunizations and HIV/AIDS.,"The Student National Pharmaceutical Association is geared toward serving the underserved communities and educating health care workers on how to serve the growing minority population. The organization also focuses on the recruitment and retention of minority pharmacists as well as increasing minority representation in all health care professions.
SNPhA is dedicated to serving our communities needs through 6 National Initiatives including HIV/AIDS; Power to End Stoke; Chronic Kidney Disease; Diabetes; Legislative/Voting/Immigration; and Operation Immunization.
 ",https://uconntact.uconn.edu/organization/studentnationalpharmaceuticalassociation
489,"Student Nurses Association, UConn","We strive to help students interested in nursing keep up with the ever changing health care field through volunteering in the community, organizing an annual career fair, and facilitating social activities that promote inter-professional communication.","We strive to assist students interested in the nursing profession to maximize and enhance learning opportunities while facilitating the development of interprofessional communication.
We encourage leadership, innovation, and involvement in the community to promote the development of a holistic nurse in the ever-changing inter-professional arena of healthcare.",https://uconntact.uconn.edu/organization/studentnursesassociationuconn
490,Student Organization Advisor Resources & Support,Are you a student org advisor? Come join us and find the resources we have waiting for you!,"Welcome to the Student Organization Advisor Resources and Support page. Please join us for updates and content on upcoming events. We have moved all of our links and resources from our old page here.
Please click on DOCUMENTS on the bottom left to view articles and resources
The SOLID Workshop Schedule for Orgs is also listed in documents.
Our Upcoming SOARS Luncheon Dates are:
Please watch your email and this group for RSVP announcements.",https://uconntact.uconn.edu/organization/soars
491,Student Pediatric Pharmacy Advocacy Group,"We are a group of pharmacy students interested in pediatric care and pediatric pharmacy. We would like to provide students with different service activities, rotation opportunities, and pediatric residency information.","SPPAG UCONN is an organization for pharmacy students (both pre-professional and professional students) interested in specializing in Pediatric Pharmacy. We would like to provide students with different service activities, rotation/shadow opportunities, and pediatric residency information. 
Currently, pediatric pharmacy isn't a well known field. We are here to help pharmacy students and others who are interested in promoting the importance of the specialization into pediatric care. Unlike adults, children need different levels of care throughout each stage of their lives. Reported adverse events, drug strength, dosing, and more are different in every child due to their difference in height, weight, age, etc. These difference between every child are crucial and pediatric pharmacists can be a strong improvement in a child's healthcare. 
Our closest assocation is CCMC, Connecticut Children's Medical Center. Donations collected by our club will be directed towards patients of CCMC or the association mentioned during the event. 
 ",https://uconntact.uconn.edu/organization/sppag
492,"Student Philanthropy Association, UConn",The Student Philanthropy Association (SPA) exists to promote the importance of private giving to UConn.,,https://uconntact.uconn.edu/organization/studentgiving
493,Student Society of Health System Pharmacy,"SSHP is an organization that allows students to learn more about health system pharmacy. We organize various events such as site visits to hospitals, a pharmacy residency panel, and a pharmacy clinical specialist panel.","The Student Society of Health-System Pharmacy (SSHP) is an organization that allows students to learn more about health system pharmacy. We organize various events such as site visits to hospitals, a pharmacy residency panel, and a pharmacy clinical specialist panel to help students gain a better understanding of hospital pharmacy and the path to get there. We also provide service to our community by participating in events like the Liver Life Walk and organizing fundraisers like the Dodge for ALS dodgeball tournament. SSHP is a recognized student society of the American Society of Health-System Pharmacists (ASHP).",https://uconntact.uconn.edu/organization/studentsocietyofhealthsystempharmacy
494,Student Union,"The Student Union is the center of activity for students, faculty and staff and is designed to enhance the quality of student life, support co-curricular activities and contribute to the University's educational mission.","Welcome to the U!
The Student Union is a department within the Division of Student Affairs, and, in partnership with the Student Union Advisory Board, is responsible for the management of the Student Union facility. The Student Union is the center of activity for students, faculty and staff and is designed to enhance the quality of student life, support co-curricular activities and contribute to the University’s educational mission.
Student Union Mission Statement
As an integral part of the educational mission of the University of Connecticut, the Student Union provides program support, services, facilities and amenities for students, faculty, staff, alumni and guests.
Our Goals",https://uconntact.uconn.edu/organization/studentunion
495,Student Union Board of Governors (SUBOG),"SUBOG is the largest programming board at UConn. The organization is known for bringing in major performers, comedians, and speakers including Khalid, Michael Che, and Stephen A. Smith as well as traditional events like Homecoming and One Ton Sundae.","SUBOG is short for Student Union Board of Governors. It is made up of 13 board members that oversee 7 different programming committees: Comedy, Concert, Major Weekends, Special Events, Sports, and Outreach.
The Executive Board, made up by Kariny Topolosci, Mikayla Williams, Tiernan Neville, and Alexandra Molina, oversee the 8 programmers and 7 committees. 
The Outreach Committee, led by Brianna McCalla and Melina Sandel, oversees the advertising and promotion of SUBOG and all of the events planned by the programming committees. 
The Comedy Committee, led by Aidan Maloney, oversees the Student Union Comedy Show series as well as the annual Winter Weekend and Spring Weekend Comedy Shows. In past years, the committee has brought in comedians like Pete Davidson, Bob Saget, Sal Vulcano, and more. 
The Concert Committee, led by Allegra Mendiratta, oversees the annual Block Party Concert, Fall Concert, and the UCONNIC Music Festival. In past years, the committee has brought in performers like Khalid, Lil Yachty, PNB Rock, Big Gigantic, Fetty Wap, and more.
The Film Committee, led by Jasmine Johnson, oversees the film series in the Student Union Theater as well as events centered around movies and television including the Oscars Live Stream, outdoor movies, student film festivals, and travel trips to movie premieres including The Black Panther. 
The Major Weekends Committee, led by Zara Kadiri, oversees the annual Homecoming, Winter, and Senior Weekends at UConn. The weekends include traditional university events including the Homecoming Parade, One Ton Sundae, Senior Stuff-a-Husky and more.
The Special Events Committee, led by Mya Watson, oversees a wide-range of different events that students enjoy in-between classes or look forward to all year including Food Truck Festival, Stuff-a-Husky, and Mason Jar Sundaes.
The Sports Committee, led by Dylan Consolati oversees the sports-related events at UConn including the Beyond the Field lecture series, popular speakers like Stephen A. Smith, and travel trips to popular games including the Red Sox and Bruins games. 
All committees meet weekly and are open to new members throughout the year. See subog.uconn.edu for committee times and location. ",https://uconntact.uconn.edu/organization/subog
496,Student's Helping to Achieve Positive Esteem,"S.H.A.P.E is a peer education group through the nutrition department of Student Health and Wellness. The group promotes the discussion of body image and body positivity, in addition to educating others on the risks and warning signs of disordered eating.",,https://uconntact.uconn.edu/organization/shape
497,Student-Athlete Advisory Committee,"SAAC consists of student-athletes from each of UConn's varsity teams. The purpose of the committee is to generate a voice within the UConn, Conference, and NCAA communities and promote a positive student-athlete image through community service projects.",,https://uconntact.uconn.edu/organization/uconnsaac
498,"Students For Life, UConn","UConn Students for Life seeks to assist in the preservation of life in all of its forms, from conception until natural death. We advocate and serve those in need, especially those who cannot aid themselves.","UConn Students for Life (SFL) is a non-partisan, pro-life organization whose mission is
to defend life through empowerment, service, and advocacy for those in the most vulnerable
circumstances, especially pregnant women and the preborn. We seek to spread awareness of and
to fight for the dignity of all human life, from conception until natural death. SFL is a pro-life
and pro-woman organization, speaking against abortion, euthanasia, and other important
life-threatening issues.
We currently meet every other Thursday from 5:00 to 6:00 in the Student Union, Room 316, beginning September 7th for the Fall 2023 semester! Come see what we'll all about! Reach out to our email at uconnstudentsforlife@gmail.com or to our officers with any questions and concerns! 
 ",https://uconntact.uconn.edu/organization/sfl
499,Summer Student Activities,Summer Student Activities at UConn,,https://uconntact.uconn.edu/organization/summerstudentactivities
500,Super Smash Bros. Club,"A group of UConn students all interested in playing the games Super Smash Bros. Melee for the Nintendo Gamecube and Super Smash Bros. Ultimate for the Nintendo Switch. All skill levels are welcome to play, train, and have fun.","A group of UConn students all interested in playing the games Super Smash Bros. Melee for the Nintendo Gamecube and Super Smash Bros. Ultimate for the Nintendo Switch. All skill levels are welcome to play, train, and have fun.
All of our communication is done through Discord. Join our server here! https://discord.gg/HVagZETRMH",https://uconntact.uconn.edu/organization/supersmash
501,Survivor: UCONN,"Survivor: UConn is a social experience based on the hit CBS reality show ""Survivor."" Students compete in physical and puzzle challenges, voting each other out of the game on a journey to be the last person standing, and earn the title of ""Sole Survivor.""","Based off of the CBS reality show, Survivor, Survivor: UConn emulates the strategies and social connections made on the 39 day-long game show within a college campus setting. Competing in teams, and then eventually, as individuals, students of all backgrounds fight to win challenges, vote other players out of the game, and be the last one standing, earning the title of UConn Sole Survivor. These events are recorded and compiled, in a way that imitates the production of the TV show. 
We're now looking to cast new players for Fall 2023! If you're interested in playing for Survivor:UConn, please be sure to reach out for an application! 
Email survivoruconn.gen2@gmail.com with any questions, and follow us on social media at the links below!",https://uconntact.uconn.edu/organization/survivoruconn
502,"SURYA, UConn","Uconn Surya is a competitive fusion dance team that incorporates Bollywood, Bhangra, Classical, Hip Hop, Lyrical, and much more! The team performs nationally under the Desi Dance Network circuit, as well as at events on and off campus.",https://www.youtube.com/user/ucsurya,https://uconntact.uconn.edu/organization/uconnsurya
503,Sweeter Than Fiction,Sweeter Than Fiction is for all book lovers. Join us for book discussions and book related activities!,"Sweeter Than Fiction is for everything book related! We pick books to read together and host discussions, along with other book-related activities. Join us for book movie nights, borrow books from our club library, and book jeopardy. Also feel free to visit our linktree to submit book recommendations, find our social media, and receive other important club info. Our Instagram is @uconnsweeterthanfiction. Whether you're a newbie or a seasoned reader, we welcome everyone! :)",https://uconntact.uconn.edu/organization/uconnsweeterthanfiction
504,"Swim Club, UConn","The UConn Swim Club is a competitive swim team that competes with other collegiate club teams throughout the Northeast and Mid-Atlantic regions. At the end of each season, a national meet is held with collegiate club teams from all over the US.",,https://uconntact.uconn.edu/organization/uconnswimclub
505,"Swing & Blues, UConn",Come learn to dance in the styles of Swing and Blues! Partner dancing with no predetermined partner necessary. Learn moves and styles from the late 1920s up to the modern moves of today. We are an LGBTQ+ safe space. No prior experience is needed.,"UConn Swing and Blues is a social dancing community based in Storrs, CT. We strive to be as welcoming and as inclusive of a dance community as we can be, and we’d love for you to come dance with us!
You don’t need to have any prior dancing experience (we accepted that dignity was overrated a long time ago and routinely make fools of ourselves, so please don’t be shy).
Swing dancing evolved in Harlem during the Harlem Renaissance, originating in the Savoy Ballroom, while blues dancing is a historically African American partner dance that blends a variety of dance styles, and focuses on the values of self expression and individuality, rhythm, and connection with the music. 
For more information on the culture surrounding swing and blues, visit our organization's website!",https://uconntact.uconn.edu/organization/uconnswingandblues
506,Tabletop Gaming Club,The Tabletop Gaming Club is an organization created to bring people together playing board games as well as tabletop roleplaying games (TTRPGs) such as Dungeons and Dragons.,"The Tabletop Gaming Club is an organization created to bring people together playing board games as well as tabletop roleplaying games (TTRPGs) such as Dungeons and Dragons. We have weekly board game nights and we try to connect DMs and players of different TTRPG systems to help them form groups.
For the Fall 2023 semester, we are planning to have a number of in-person events throughout the semester. You can find more details in our Discord server, which you can join here!",https://uconntact.uconn.edu/organization/tabletop_gaming_club
507,Tamil Students Sangam,The Tamil Students Sangam is a student organization aimed at bringing together the Tamil-speaking community at UConn to promote cultural awareness and diversity.,"The Tamil Students Sangam is a student organization aimed at bringing together the Tamil-speaking community at UConn to promote cultural awareness and diversity. Join us for movie nights, language workshops, casual social gatherings, food, festivals, and more!",https://uconntact.uconn.edu/organization/tamilstudentssangam
508,Tap Club,"The Tap Club is an organization open to all students, regardless of Tap dance experience. It is a group for students interested in learning, improving, and practicing their tap skills in a fun and welcoming environment.","The Tap Club is an organization open to all students, regardless of tap dance experience. It is a group for students interested in learning, improving, and practicing their tap skills in a fun and welcoming environment.

Any member of the Tap Club is welcome to contribute to our group learning and fun. Everyone is welcome to choreograph a dance!
At the end of the Spring Semester, Tap Club performs in their annual showcase, which features choreography from the VP Choreographer as well as small group numbers choreographed by many different members.",https://uconntact.uconn.edu/organization/tapclub
509,"Tap Team, UConn","UConn Tap Team is a dance group that performs on campus, and competes regionally and nationally. Dances are choreographed by local professional dance instructors. Auditions are required. Members are expected to commit to a strict attendance policy.","The UConn Tap Team is a dance group that performs locally and on campus, as well as in regional and national competitions. Dances are choreographed by local professional dance instructors: currently Danielle DelPiano and Andrew Parker. Auditions are required. Members are expected to commit to two rehearsals per week and to the team's performance schedule.
HOW WE BEGAN:
UConn Tap was a student-run organization at the University of Connecticut. The club was founded in the Fall 2003 semester, and has since become an official club at the University of Connecticut (January 2004). Starting in the Fall 2004 semester, the interest increased so much that we expanded into the UConn Tap Team of 18 members, now 19, requiring auditions. 
The Tap Team began competing in January 2005. We are an organization of tap dancers who wish to expand upon our talents and learn new methods, steps, and more from each other. Through tap, we strive to create connections with others, both those who tap, as well as those who do not.

Auditions are held at the beginning of every Fall semester.
 
 
""I joined the tap team my freshman year and it was one of the best decisions I made at UCONN! I learned so much and became a much better dancer. I also gained so many amazing friends! All the girls (or boys) on this team are amazing and kind and you will have a blast at every practice"" - Gabriella, UConn '21
 
 
""I joined the tap team my freshman year to make friends and do something that I really enjoy! This team has really helped me adjust to life at UConn and helped me continue to do something I love!"" -Kiley, Uconn '22
 
 
""I joined UConn Tap Team to meet new people who shared the same love for dance that I did and I am so glad I did! I met some of my best friends on this team. It also was the perfect way to maintain my tap skills while balancing my academics."" -Francesca, UConn '21
 
 
""Auditioning for the UConn Tap team was one of the best decisions I made in college. The tap team is an amazingly inclusive group and I’ve gained best friends and roommates from the team!"" - Elena, UConn '21
 ",https://uconntact.uconn.edu/organization/tapteamuconn
510,Tarang,Tarang is a cultural organization that was created to bring the South Asian community at the University of Connecticut together to help promote and preserve the cultures and traditions of our home countries.,"Tarang is a cultural organization that was created to bring the South Asian community at the University of Connecticut together to help promote and preserve the cultures and traditions of our home countries of India, Sri Lanka, Nepal, Bangladesh, Bhutan, Pakistan, Maldives.
The association has several purposes, some of which include celebrating festivals annually, conducting events that showcase the talents of its members in various fields, organizing activities that are intended to bring together the South Asian population in a social setting. Also, the most important purpose of Tarang is to assist new students from our home countries acclimatize and settle down in this new environment.
Tarang is one of the largest and most active cultural organizations here at the University of Connecticut. We take pride in our organization. This is home away from home and the members, our family away from family. We hope that you will take the time to explore this website and find what our organization is all about. Please write to us at uconntarang@gmail.com to reach out to us. ",https://uconntact.uconn.edu/organization/tarang
511,Tax Law Society,The Tax Law Society is a student-run organization that focuses on introducing law students to tax law and giving them an opportunity to connect with others interested in the field of taxation.,,https://uconntact.uconn.edu/organization/---
512,TEDxUConn,"The mission of this organization shall be to host annual TEDx events on the UConn Storrs campus that are open to the public, and feature speakers within the UConn community and beyond.","The purpose of this organization shall be to organize and host annual TEDx events at the University of Connecticut and provide students the opportunity to network and develop their own ideas in the subjects of Technology, Education, and Design.",https://uconntact.uconn.edu/organization/tedxuconn
513,Tetris Club,"Tetris Club aims to provide a home for all Tetris players around UConn. Our mission is to educate students on the beauty of the block-dropping game we all know and love. From beginners to Tetris veterans, anyone can join!","Conn Tetris Club aims to inspire, motivate, and educate Tetris players of all skill levels and help teach members about the beauty of the game of Tetris. Members are encouraged to push themselves past their stacking abilities and utilize the lessons that are taught within the club and apply it to not only their gameplay, but also the real world. This club helps players develop integral skills such as problem solving, organization, and adaptability, and members are encouraged to apply these pillars to their lives outside of the organization. UConn Tetris Club is a safe and inclusive environment for members to meet other players of similar skill levels to play against, as well as find coaches to mentor them and help them improve their Tetris gameplay.",https://uconntact.uconn.edu/organization/uconn_tetris_club
514,"Thai, Lao, & Cambodian Student Association","A club centered around promoting Thai, Lao, and Cambodian culture to the student body through educational and recreational experiences and bring interested students together to connect with each other culturally.","The Thai, Lao, and Cambodian Student Association, also known as TLC, was established in hopes to bring together a community of students and faculty alike interested in Thai, Lao, & Cambodian culture in order to bring awareness of who we are. Through arts, food, and history, we invite you to come join us to learn more about our culture!",https://uconntact.uconn.edu/organization/thailaocambodian
515,The Connecticut Moot Court Board,The Board is promotes the development of oral and written advocacy skills; to enhance the reputation of the Law School by maintaining the quality of the Board and to present members the chance to practice and enhance their oral advocacy skills.,"The purpose of the Board is to promote the development of oral and written
advocacy skills; to enhance the reputation of the University of Connecticut School of
Law (“Law School”) by maintaining the quality and prestige of the Board; and to
augment the legal education of members and the student body generally by
fostering an environment that introduces students to, and provides them with the
opportunity to debate, emerging jurisprudential issues. Toward these ends, the
Board will select, fund, and prepare teams to compete in moot court competitions
nationally. Additionally, on an annual basis, the Board will host intramural
competitions, including the William H. Hastie Memorial Competition (“Hastie
Competition”) and the Alva P. Loiselle Competition (“Loiselle Competition”), from
which the Board selects for membership those competitors who have displayed
outstanding advocacy skills. The Board will endeavor to host, on an annual basis,
an interscholastic competition. The Board will also make all reasonable attempts to
assist first year oral advocacy instruction by judging practice rounds of arguments.
Individual members of the board are required to uphold the mission statement of
the Board.",https://uconntact.uconn.edu/organization/ctmootcourtboard
516,The Pack,A group of students who want to elevate UConn Student Sections of every sport.,,https://uconntact.uconn.edu/organization/thepack
517,The Q Center - Hartford Campus Quantitative Tutoring and Help,-,-,https://uconntact.uconn.edu/organization/theqcenterhartford
518,The W Center - Hartford Campus Writing Tutoring and Help,-,,https://uconntact.uconn.edu/organization/thewcenterhartford
519,The Werth Institute: Werth Innovators Leadership Development (WILD) program,"Welcome to Entrepreneurship at UConn. UConn has a rich history of developing innovative students of the highest caliber. We offer over 30 different programs dedicated to some aspect of entrepreneurship, enabling opportunities not yet imagined.","The Werth Institute's Werth Innovator Leadership Development (WILD) program identifies and supports students who are creators and innovators and provides them with opportunities to develop leadership skills and confidence to found or create something new and exciting. Students accepted into the WILD program have access to unique transformative experiences such as mentorship with an alum, skill building workshops, project management and expanding their network with high caliber entrepreneurs and founders. Student outcomes include building on their confidence, networking, team building and social influence. 
 
",https://uconntact.uconn.edu/organization/werth-institute-wild
520,"ThundeRaas, UConn","UConn ThundeRaas is a nationally competing garba/raas team that aims to spread culture and diversity. Last season, the team placed 2nd at the Raas All-Stars National Championship in Chicago.","UConn ThundeRaas (UCTR) is Connecticut’s premier Garba-Raas team with the fundamental purpose of spreading and celebrating Gujarati culture through the medium of dance. Combining traditional garba-raas moves with new contemporary moves, we have developed a style unique to our UCTR team. UCTR is less a team and more a family joined together by our love for dance. Day or night, rain or shine, UCTR will raas it out!
",https://uconntact.uconn.edu/organization/ucthunderaas
521,Totally Awesome Movie Club,"A club that meets once a week to watch a totally awesome movie. It would be casual and screen popular movies that are totally awesome. Would also have snacks, drinks, discussions and games. Would really bring the community together!",Waddup! We are a club that meets once a week to watch a variety of types of movies. We are very casual! Come and go as you please. Feel free to recommend movies. We may provide snacks. We always provide a good time. ;) ,https://uconntact.uconn.edu/organization/tamc
522,Traders Edge at UConn,"This is an inclusive community for traders of all levels. We strive to provide an educational trading environment where we all learn from each other. Here, you can engage in student-led sessions, develop trading strategies, and forge valuable connections","Welcome to the UConn's Trading Club! This club is an inclusive community where beginner, intermediate, or pro traders will help each other to learn, collaborate, and cultivate their skills in the ever-changing world of financial markets.
 
We are Inspired by the constantly evolving world of financial markets and our members are focused on continuous learning and self-improvement. Whether you're a seasoned trader or completely new to the concept, our club provides a supportive environment for all levels of experience. Coming together is the key to success, and diverse membership brings together a spectrum of important different perspectives.
 
Through student-led meetings, lessons, and paper trading, we aim to equip our members with a strong foundation in trading strategies, technical and fundamental analysis, risk management, and market psychology. We strive to study every specialization such as day trading, swing trading, or long term holding.
 
In addition to gaining trading skills, our club will most importantly facilitate useful connections among like-minded individuals. The purpose of this club is to meet other people with the same goals and learn together!
 
Join us at the UConn Trading Club and work together to become a well-rounded trader. Together, we not only learn and master the art of trading, but we create lifelong friendships! Whether you're aiming for a career in the subject or just intrigued by the markets, our club offers the knowledge and community you need to thrive in the world of trading",https://uconntact.uconn.edu/organization/tradersedgeuconn
523,Transfer Student Association,"TSA seeks to support the transition to UConn Storrs for new transfer and campus change students by offering a space to connect with other students, staff, and resources on campus.","The Transfer Student Association (TSA) is a student organization that helps connect transfer and campus change students to one another and assist each other in areas of need. We strive to inform transfer and campus change students about happenings on campus and engage in the UConn community. If you're looking for a way to get involved on campus and connect with other students, join TSA!",https://uconntact.uconn.edu/organization/transfer
524,"Translation Club, The","Our Organization aims to provide a space in which Students can workshop their translations with other students, in a variety of different languages.","Our Organization aims to provide a space in which Students can workshop their translations with other students, in a variety of different languages, it is a space to collaborate and improve on Literary Translations whether they be prose or poetry. The Organisation also provides students with opportunities to attend translation conferences and guidance on submitting translations for publishing",https://uconntact.uconn.edu/organization/translationclub
525,Truman Scholarship Nominating Committee,The University of Connecticut's official nominating body for the prestigious Harry S. Truman Scholarship.,"Four-year institutions across the country are permitted to nominate up to four students to compete for the Truman Scholarship, which awards $30,000 (future graduate school funding) to outstanding college juniors interested public service careers. The Truman Scholarship Nominating Committee, consisting of faculty members and staff dedicated to academic excellence, student leadership and service, reviews applications, interviews campus finalists and selects nominees to represent the University in the national competition. ",https://uconntact.uconn.edu/organization/onstruman
526,Trustee Student Organization Support,"Part of the Department of Student Activities, the mission of Trustee Student Organization Support is to provide training, support and resources for Tier III Student Organizations.",,https://uconntact.uconn.edu/organization/triad
527,Turn the Page UConn,"Turn the Page is a low-commitment book club for anyone interested in reading for fun! (You don't have to be an English major). Simply show up having read the voted-on book and engage in discussion questions, games, polls, and quizzes! @turnthepageuconn","Welcome to Turn the Page UConn!
It can be difficult to find time to read for leisure during the semester. Turn the Page is understanding of academic obligations and seeks to provide a fun, engaging community for both lovers of literature and students interested in reading more. Throughout the semester, we will sample a variety of genres and authors.
Our mission is to spread the love of reading on campus. We are currently working on installing a Little Library, and can't wait to see what the future holds for TTP. 
Follow us on Instagram for book reviews, literature news, and more @turnthepageuconn ",https://uconntact.uconn.edu/organization/turnthepageuconn
528,UConn Army ROTC,"The Army ROTC Program provides students the opportunity to work within a team, improve physical fitness, and learn leadership skills while earning a college degree. The program offers numerous scholarship opportunities dependent on overall performance.","The mission of the UConn Army ROTC program is to teach students about the military, instill the Army values of Loyalty, Duty, Respect, Selfless Service, Honor, Integrity, and Personal Courage while earning a college degree. Upon meeting all Military Science requirements, cadets will commission as Officers into the United States Army. We are a challenging but rewarding program that exists to develop leaders capable of guiding the sons and daughters of America through the 21st century. After successfully completing the Army ROTC program and earning a four-year degree, Cadets are commissioned as Second Lieutenants in the U.S. Army. As officers, they may serve full-time on active-duty, or part-time in the National Guard or Army Reserve. There is no application needed to join and all are welcome. It is as easy as signing up for the Military Science class that pertains to the students academic status which can be found on the University course catalog.",https://uconntact.uconn.edu/organization/uconn_army_rotc
529,UConn Avery Point Husky Ambassadors,Front-line Ambassadors to UConn Avery Point. Husky Ambassadors volunteer and work in the Office of Admissions and hold special responsibilities in the areas of recruitment and campus leadership.,"UConn Avery Point Husky Ambassadors program was created to enrich and support UConn Avery Point through various activities related to the recruitment of prospective students and welcoming of special guests to the campus. Husky Ambassadors conduct tours to acquaint prospective students/guests with the campus, provide accurate information at all times, and present the positive spirit of UConn to all who visit the campus.
https://www.youtube.com/watch?v=39JkzmQKmy4",https://uconntact.uconn.edu/organization/uconnaverypointhuskyambassadors
